id,area,aspects,solidities,extents,perimeters,eccentricities,labels
0,8947.5,1.43181818182,0.927875132968,0.201738365801,674.506699324,1.0,2
1,9795.5,1.61538461538,0.927560239311,0.183066083576,758.790971518,1.0,2
2,7800.5,1.32716049383,0.923901445885,0.223959230548,585.394002199,0.99,2
3,11022.0,1.62626262626,0.922767793355,0.172877846791,829.803163767,1.0,2
4,9436.5,1.54891304348,0.928286843458,0.179948512586,743.619396329,1.0,2
5,11366.5,1.6157635468,0.930383883684,0.170709179382,846.531084776,1.0,2
6,10325.0,1.6902173913,0.942793216064,0.180431287572,790.34732008,1.0,2
7,9071.0,1.54545454545,0.945831802869,0.189484458556,706.89147532,1.0,2
8,11250.0,1.61386138614,0.931407037866,0.170837635911,841.11687243,1.0,2
9,11445.5,1.62254901961,0.92691123318,0.169502695338,853.359511971,1.0,2
10,9734.5,1.67816091954,0.942215545253,0.191593843489,745.820408702,1.0,2
11,7716.0,1.35185185185,0.914055548018,0.217486893286,597.494506478,0.99,2
12,9001.5,1.44262295082,0.919458621865,0.186320168902,700.79096961,1.0,2
13,10545.0,1.67692307692,0.876303645022,0.165372853446,834.974736333,1.0,2
14,10906.0,1.67164179104,0.904874499856,0.161484245439,856.773725867,1.0,2
15,9146.0,1.54285714286,0.943810939128,0.193566137566,703.234619498,1.0,2
16,11303.5,1.61881188119,0.922772350522,0.171125140037,843.702658176,1.0,2
17,9951.0,1.29015544041,0.921260927452,0.207066608403,692.548330188,0.99,2
18,10700.5,1.66666666667,0.922695516748,0.174161783854,817.903668761,1.0,2
19,9250.0,1.61827956989,0.919848837313,0.165219876398,782.690464377,1.0,2
20,9170.5,1.56111111111,0.930023823031,0.181306840648,728.790970445,1.0,2
21,9282.5,1.53107344633,0.945649949616,0.193518460608,707.477261424,1.0,2
22,9062.0,1.48,0.944499442967,0.199933811362,681.23462069,1.0,2
23,8213.0,1.38235294118,0.917961317559,0.205581977472,636.121922612,1.0,2
24,9117.0,1.47540983607,0.917803383321,0.184517304189,716.891474247,1.0,2
25,9418.0,1.49468085106,0.916727493875,0.178276671462,739.518891573,1.0,2
26,10355.5,1.61052631579,0.925548546047,0.178113175095,789.41838634,1.0,2
27,11373.0,1.62068965517,0.931258948362,0.170287630826,847.945298672,1.0,2
28,8187.0,1.3869047619,0.919267898953,0.209150827713,624.60720408,1.0,2
29,8832.5,1.47674418605,0.922647018462,0.202172221205,670.506699204,1.0,2
30,10599.5,1.68279569892,0.942596701266,0.182065684153,796.589960814,1.0,2
31,10176.5,1.62234042553,0.93225539637,0.177476456226,783.418387294,1.0,2
